"","RESPNUM","Q1","Q2","Rec_Age","Q3_01","Q3_02","Q3_03","Q3_04","Q3_05","Q3_06","Q3_07","Q3_08","Q3_09","Q3_10","Q3_11","Q3_12","Q3_13","Q4a_01","Q4a_02","Q4a_03","Q4a_04","Q4a_05","Q4a_06","Q4a_07","Q4a_08","Q4a_09","Q4a_10","Q4a_11","Q4a_12","Q4a_13","Q4a_14","Q4b_01","Q4b_02","Q4b_03","Q4b_04","Q4b_05","Q4b_06","Q4b_07","Q4b_08","Q4b_09","Q4b_10","Q4b_11","Q4b_12","Q4b_13","Q4b_14","Q4c_01","Q4c_02","Q4c_03","Q4c_04","Q4c_05","Q4c_06","Q4c_07","Q4c_08","Q4c_09","Q4c_10","Q4c_11","Q4c_12","Q4c_13","Q4c_14","Q4d_01","Q4d_02","Q4d_03","Q4d_04","Q4d_05","Q4d_06","Q4d_07","Q4d_08","Q4d_09","Q4d_10","Q4d_11","Q4d_12","Q4d_13","Q4d_14","Q4e_01","Q4e_02","Q4e_03","Q4e_04","Q4e_05","Q4e_06","Q4e_07","Q4e_08","Q4e_09","Q4e_10","Q4e_11","Q4e_12","Q4e_13","Q4e_14","Q4f_01","Q4f_02","Q4f_03","Q4f_04","Q4f_05","Q4f_06","Q4f_07","Q4f_08","Q4f_09","Q4f_10","Q4f_11","Q4f_12","Q4f_13","Q4f_14","Q4g_01","Q4g_02","Q4g_03","Q4g_04","Q4g_05","Q4g_06","Q4g_07","Q4g_08","Q4g_09","Q4g_10","Q4g_11","Q4g_12","Q4g_13","Q4g_14","Q4h_01","Q4h_02","Q4h_03","Q4h_04","Q4h_05","Q4h_06","Q4h_07","Q4h_08","Q4h_09","Q4h_10","Q4h_11","Q4h_12","Q4h_13","Q4h_14","Q4i_01","Q4i_02","Q4i_03","Q4i_04","Q4i_05","Q4i_06","Q4i_07","Q4i_08","Q4i_09","Q4i_10","Q4i_11","Q4i_12","Q4i_13","Q4i_14","Q5a_left","Q5a_right","Q5b_left","Q5b_right","Q5c_left","Q5c_right","Q5d_left","Q5d_right","Q5e_left","Q5e_right","Q5f_left","Q5f_right","Q6_01","Q6_02","Q6_03","Q6_04","Q6_05","Q6_06","Q6_07","Q6_08","Q6_09","Q6_10","Q7","StartDate","StartTime","endDate","EndTime","Timetaken"
"250",251,"Female","45 to 49","35 to 49","Not at all likely 0","4","Not at all likely 0","6","Not at all likely 0","8","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","7","7","Not at all likely 0","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","yes","no","yes","no","yes","no","no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","Microsoft","IBM","Sony","Yahoo","Samsung","Nokia","Google","Dell","Samsung","Yahoo","Samsung","Yahoo","no","no","no","yes","no","no","no","no","yes","no","$15,001 to $30,000","07/04/2017","10:31:38","07/04/2017","10:51:27","19:49"
"251",252,"Female","40 to 44","35 to 49","Not at all likely 0","8","8","8","8","8","8","8","8","8","8","8","8","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","yes","yes","no","yes","no","no","yes","no","yes","yes","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Microsoft","Apple","Nokia","Apple","Microsoft","Sony","Intel","Google","Microsoft","Google","IBM","Apple","no","no","no","no","no","no","no","no","yes","no","$60,001 to $90,000","07/04/2017","11:15:56","07/04/2017","11:21:31","5:34"
"252",253,"Female","40 to 44","35 to 49","Extremely likely10","Extremely likely10","2","Extremely likely10","7","5","5","2","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","5","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","IBM","Apple","Dell","Samsung","Sony","Google","Dell","Google","Dell","Samsung","Intel","yes","no","yes","yes","no","no","no","no","yes","no","$150,001 to $200,000","07/04/2017","11:13:09","07/04/2017","11:27:17","14:7"
"253",254,"Male","35 to 39","35 to 49","8","4","1","6","Not at all likely 0","3","6","2","2","2","6","1","3","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","yes","yes","no","yes","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","Apple","IBM","Apple","Yahoo","Samsung","Intel","Sony","Intel","Samsung","Yahoo","Apple","Intel","yes","yes","yes","no","no","no","yes","yes","no","no","$200,001 or more","07/04/2017","14:54:51","07/04/2017","15:00:05","5:14"
"254",255,"Male","25 to 29","18 to 34","8","6","7","8","8","6","6","5","6","6","6","6","6","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","Google","Nokia","Apple","Nokia","Samsung","Nokia","Google","Dell","Google","Dell","Apple","Yahoo","yes","no","yes","no","no","yes","no","yes","yes","no","$200,001 or more","07/04/2017","14:49:41","07/04/2017","15:05:02","15:20"
"255",256,"Male","40 to 44","35 to 49","Extremely likely10","Not at all likely 0","Not at all likely 0","Extremely likely10","Not at all likely 0","Not at all likely 0","5","Not at all likely 0","5","5","Not at all likely 0","Not at all likely 0","5","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","Apple","IBM","Apple","Nokia","Microsoft","Intel","Google","IBM","Google","Dell","Apple","Samsung","yes","yes","yes","no","no","no","yes","no","no","no","$60,001 to $90,000","07/04/2017","15:15:58","07/04/2017","15:19:27","3:29"
"256",257,"Male","40 to 44","35 to 49","8","8","4","8","5","4","7","4","6","6","7","8","6","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","IBM","Apple","Dell","Samsung","Nokia","Sony","IBM","Samsung","Dell","Apple","IBM","yes","no","yes","no","no","no","no","yes","no","no","$90.001 to $120,000","07/04/2017","15:20:06","07/04/2017","15:25:41","5:35"
"257",258,"Male","30 to 34","18 to 34","5","5","5","5","5","5","5","5","5","5","5","5","5","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","Apple","Microsoft","Apple","Sony","Sony","Intel","Google","IBM","Google","Dell","Apple","IBM","no","no","no","no","yes","no","yes","no","no","no","$30,001 to $45,000","07/04/2017","15:23:45","07/04/2017","15:27:07","3:22"
"258",259,"Male","45 to 49","35 to 49","6","6","6","6","6","6","6","6","6","6","6","6","6","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","no","no","no","yes","no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","yes","no","yes","yes","no","yes","no","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","Nokia","Apple","Nokia","Samsung","Nokia","Dell","Sony","Samsung","Yahoo","Apple","Yahoo","yes","no","yes","no","no","no","no","yes","yes","no","$90.001 to $120,000","07/04/2017","15:52:52","07/04/2017","15:57:36","4:44"
"259",260,"Male","18 to 24","18 to 34","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","9","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","9","Extremely likely10","9","9","yes","yes","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","no","yes","no","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","Apple","Google","Yahoo","Nokia","Samsung","Intel","Intel","IBM","Yahoo","Google","Apple","Intel","no","no","no","yes","no","no","no","no","no","no","Less than $15,000","07/04/2017","15:53:05","07/04/2017","15:55:47","2:41"
"260",261,"Male","35 to 39","35 to 49","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","7","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","no","yes","no","yes","yes","yes","no","no","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","yes","yes","yes","no","yes","yes","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","Nokia","Apple","Nokia","Microsoft","Nokia","Google","Dell","Google","Yahoo","Apple","Yahoo","yes","no","yes","no","no","no","yes","no","yes","no","$60,001 to $90,000","07/04/2017","15:27:56","07/04/2017","15:37:34","9:37"
"261",262,"Male","45 to 49","35 to 49","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","yes","yes","no","yes","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","yes","no","yes","yes","no","yes","no","yes","no","no","no","yes","yes","yes","yes","no","yes","yes","no","no","no","no","yes","no","no","yes","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","Apple","Nokia","Apple","Nokia","Sony","Nokia","Sony","IBM","Microsoft","Dell","Apple","Yahoo","yes","yes","no","no","yes","no","no","yes","yes","no","$90.001 to $120,000","07/04/2017","15:34:05","07/04/2017","15:38:41","4:36"
"262",263,"Male","45 to 49","35 to 49","6","4","6","4","5","5","5","2","6","3","6","5","5","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","IBM","Microsoft","Sony","Apple","Samsung","Microsoft","Sony","Dell","Samsung","Dell","Samsung","Yahoo","no","yes","yes","no","no","no","no","yes","yes","no","$90.001 to $120,000","07/04/2017","16:59:49","07/04/2017","17:13:22","13:33"
"263",264,"Male","35 to 39","35 to 49","7","9","8","Extremely likely10","Extremely likely10","9","Extremely likely10","9","9","7","9","9","7","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","yes","no","no","yes","yes","no","yes","no","no","no","yes","yes","yes","no","no","no","no","yes","no","yes","yes","yes","no","no","yes","yes","yes","no","yes","no","no","no","no","yes","yes","yes","no","no","yes","yes","yes","no","yes","no","no","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","yes","yes","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","no","no","no","no","no","no","yes","yes","yes","no","no","yes","yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes","yes","yes","no","Apple","Nokia","Sony","Apple","Sony","Nokia","Sony","IBM","Samsung","Yahoo","Samsung","IBM","no","yes","yes","yes","no","no","no","yes","yes","no","$150,001 to $200,000","07/04/2017","17:00:49","07/04/2017","17:05:22","4:33"
"264",265,"Male","30 to 34","18 to 34","9","4","8","9","2","2","Not at all likely 0","5","Not at all likely 0","Not at all likely 0","6","9","7","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","Nokia","Apple","Nokia","Samsung","Nokia","Google","Sony","Samsung","Yahoo","Apple","Yahoo","no","yes","yes","no","no","yes","yes","no","no","no","$150,001 to $200,000","07/04/2017","17:22:57","07/04/2017","17:31:00","8:2"
"265",266,"Male","40 to 44","35 to 49","5","8","5","9","8","4","Extremely likely10","6","6","Extremely likely10","9","7","7","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","yes","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","no","no","yes","yes","no","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","Nokia","Apple","Sony","Apple","Sony","Microsoft","Sony","Dell","Samsung","Dell","Samsung","Apple","no","no","no","yes","yes","no","no","no","yes","no","$30,001 to $45,000","07/04/2017","17:59:57","07/04/2017","18:05:19","5:22"
"266",267,"Male","40 to 44","35 to 49","Extremely likely10","7","4","Extremely likely10","Extremely likely10","9","Extremely likely10","7","7","9","Extremely likely10","Extremely likely10","7","yes","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","yes","yes","no","yes","no","yes","no","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","yes","no","Apple","Microsoft","Apple","Yahoo","Samsung","Microsoft","Google","IBM","Samsung","Yahoo","Samsung","Yahoo","yes","yes","no","no","no","no","no","yes","yes","no","$90.001 to $120,000","07/04/2017","17:49:14","07/04/2017","17:55:57","6:43"
"267",268,"Male","25 to 29","18 to 34","Extremely likely10","Extremely likely10","Not at all likely 0","Extremely likely10","Extremely likely10","5","8","5","5","3","Extremely likely10","7","3","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","yes","no","Apple","Nokia","Apple","Nokia","Samsung","Nokia","Intel","IBM","Google","Dell","Apple","IBM","yes","yes","yes","no","no","no","no","yes","yes","no","$200,001 or more","07/04/2017","18:48:41","07/04/2017","18:52:20","3:39"
"268",269,"Male","45 to 49","35 to 49","Extremely likely10","6","4","7","6","7","5","4","5","4","7","6","9","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","yes","no","yes","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","Apple","IBM","Apple","Nokia","Samsung","Nokia","Google","IBM","Samsung","Yahoo","Apple","IBM","no","no","yes","no","no","yes","yes","no","no","no","$90.001 to $120,000","07/04/2017","19:12:42","07/04/2017","19:17:13","4:30"
"269",270,"Male","45 to 49","35 to 49","8","5","2","5","2","2","7","2","2","Not at all likely 0","8","2","2","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","Nokia","Apple","Dell","Samsung","Nokia","Sony","Dell","Samsung","Dell","Samsung","IBM","yes","yes","yes","no","no","yes","no","no","no","no","$45,001 to $60,000","07/04/2017","19:18:03","07/04/2017","19:21:51","3:48"
"270",271,"Male","40 to 44","35 to 49","9","9","8","9","9","9","8","9","9","9","9","9","8","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","no","no","Apple","Microsoft","Apple","Sony","Samsung","Microsoft","Google","IBM","Samsung","Microsoft","Apple","IBM","yes","no","yes","no","no","no","yes","no","no","no","$45,001 to $60,000","07/04/2017","19:26:28","07/04/2017","19:29:12","2:43"
"271",272,"Male","35 to 39","35 to 49","2","8","6","9","7","7","6","8","2","2","9","8","6","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes","yes","no","yes","no","no","yes","yes","no","no","yes","yes","yes","no","no","no","no","yes","no","yes","yes","yes","no","no","yes","yes","yes","no","yes","no","no","no","no","yes","yes","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","Google","Apple","Dell","Apple","Samsung","Nokia","Google","IBM","Google","Yahoo","Samsung","Apple","no","no","no","yes","no","no","no","yes","yes","no","$120,001 to $150,000","07/04/2017","20:06:31","07/04/2017","20:12:18","5:46"
"272",273,"Male","40 to 44","35 to 49","Not at all likely 0","5","2","8","5","5","5","7","7","2","7","6","5","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","yes","yes","no","no","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","yes","yes","no","no","no","no","no","yes","no","yes","no","no","no","yes","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","yes","no","Google","Apple","Dell","Apple","Samsung","Nokia","Google","IBM","Google","Yahoo","Samsung","IBM","no","no","no","no","yes","no","no","no","yes","no","$90.001 to $120,000","07/04/2017","20:20:30","07/04/2017","20:25:40","5:10"
"273",274,"Male","45 to 49","35 to 49","8","2","7","4","5","7","6","6","4","7","9","4","2","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","yes","yes","no","yes","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","yes","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","IBM","Google","Apple","Yahoo","Samsung","Microsoft","Sony","Dell","Samsung","Dell","Samsung","Yahoo","yes","no","yes","no","no","no","yes","yes","yes","no","Less than $15,000","07/04/2017","20:26:49","07/04/2017","20:35:05","8:15"
"274",275,"Male","45 to 49","35 to 49","7","7","7","7","9","6","8","9","3","8","7","7","8","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","yes","no","no","no","no","yes","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","yes","no","no","yes","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","no","yes","no","yes","no","no","no","no","yes","no","yes","no","yes","no","yes","no","no","no","no","Google","IBM","Dell","Yahoo","Sony","Nokia","Dell","IBM","Dell","Yahoo","Intel","IBM","no","no","no","no","yes","no","no","yes","yes","no","$60,001 to $90,000","07/04/2017","20:41:40","07/04/2017","20:49:07","7:26"
"275",276,"Male","35 to 39","35 to 49","9","Extremely likely10","6","Extremely likely10","9","6","Extremely likely10","6","Extremely likely10","6","6","6","6","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","Apple","IBM","Apple","Nokia","Sony","Nokia","Google","Intel","Yahoo","Samsung","Apple","Yahoo","yes","no","yes","no","no","no","no","yes","yes","no","$120,001 to $150,000","07/04/2017","20:57:55","07/04/2017","21:02:05","4:9"
"276",277,"Male","45 to 49","35 to 49","3","2","5","6","3","5","5","7","5","5","5","5","5","yes","yes","no","yes","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","yes","yes","no","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","yes","no","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","yes","yes","no","yes","no","no","yes","no","no","no","yes","no","no","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","Google","Apple","Dell","Apple","Samsung","Microsoft","Dell","IBM","Dell","Microsoft","Samsung","Apple","yes","yes","yes","no","yes","no","no","yes","yes","no","$200,001 or more","07/04/2017","20:43:35","07/04/2017","20:49:09","5:34"
